
confctl config dev shell ready (tools)
NAME                                SPIN    NODE.ROLE   HOST.NAME   HOST.LOCATION   HOST.DOMAIN
cz.vpsfree/vpsadmin/int.api1        nixos   -           api1        int             vpsfree.cz
cz.vpsfree/vpsadmin/int.api2        nixos   -           api2        int             vpsfree.cz
cz.vpsfree/vpsadmin/int.db          nixos   -           db          int             vpsfree.cz
cz.vpsfree/vpsadmin/int.rabbitmq1   nixos   -           rabbitmq1   int             vpsfree.cz
cz.vpsfree/vpsadmin/int.rabbitmq2   nixos   -           rabbitmq2   int             vpsfree.cz
cz.vpsfree/vpsadmin/int.rabbitmq3   nixos   -           rabbitmq3   int             vpsfree.cz
cz.vpsfree/vpsadmin/int.redis1      nixos   -           redis1      int             vpsfree.cz
cz.vpsfree/vpsadmin/int.vpsadmin1   nixos   -           vpsadmin1   int             vpsfree.cz
cz.vpsfree/vpsadmin/int.webui-dev   nixos   -           webui-dev   int             vpsfree.cz
cz.vpsfree/vpsadmin/int.webui1      nixos   -           webui1      int             vpsfree.cz
cz.vpsfree/vpsadmin/int.webui2      nixos   -           webui2      int             vpsfree.cz
